전철역코드,전철역명,전철명명(영문),호선,외부코드,x 좌표,y 좌표
2532,충정로,Chungjeongno,05호선,531,126.9644741,37.5598378
2533,서대문,Seodaemun,05호선,532,126.9666374,37.5658563
2534,광화문,Gwanghwamun,05호선,533,126.9767879,37.5716229
2535,종로3가,Jongno 3(sam)-ga,05호선,534,126.9920293,37.5704266
2536,을지로4가,Euljiro 4(sa)-ga,05호선,535,126.9978528,37.566637
2537,동대문역사문화공원,Dongdaemun History  Culture Park,05호선,536,127.0091315,37.5655895
2538,청구,Cheonggu,05호선,5371,127.013806,37.5602939
2539,신금호,Singeumho,05호선,538,127.0200642,37.5545325
2540,행당,Haengdang,05호선,539,127.0288996,37.557456
2541,왕십리,Wangsimni,05호선,540,127.0366554,37.5612217
2542,마장,Majang,05호선,541,127.0431635,37.5662828
2543,답십리,Dapsimni,05호선,542,127.0531809,37.5664459
2544,장한평,Janghanpyeong,05호선,543,127.0641904,37.5620161
2545,군자,Gunja,05호선,544,127.0790173,37.5573632
2546,아차산,Achasan,05호선,545,127.0911043,37.5508051
2547,광나루,Gwangnaru,05호선,546,127.1036865,37.5452787
2548,천호,Cheonho,05호선,547,127.1237425,37.538579
2549,강동,Gangdong,05호선,548,127.1335296,37.5355205
2550,길동,Gil-dong,05호선,549,127.1399992,37.5378116
2551,굽은다리,Gubeundari,05호선,550,127.1429708,37.5457315
2552,명일,Myeongil,05호선,551,127.1440009,37.5512603
2553,고덕,Godeok,05호선,552,127.1539494,37.5550473
2554,상일동,Sangil-dong,05호선,553,127.1658292,37.5566644
2555,둔촌동,Dunchon-dong,05호선,P549,127.1363753,37.5281355
2556,올림픽공원,Olympic Park,05호선,P550,127.1306002,37.5160877
2557,방이,Bangi,05호선,P551,127.1258547,37.5085565
2558,오금,Ogeum,05호선,P552,127.1278792,37.502266
2559,개롱,Gaerong,05호선,P553,127.1351586,37.4978146
2560,거여,Geoyeo,05호선,P554,127.1440323,37.4932073
2561,마천,Macheon,05호선,P555,127.1523206,37.4946706
2563,미사,Misa,05호선,555,127.1926971,37.5631032
2564,하남풍산,Hanam Pungsan,05호선,556,127.2038706,37.5520577
2611,응암,Eungam,06호선,610,126.9155128,37.5987424
2612,역촌,Yeokchon,06호선,611,126.9229679,37.6060391
2613,불광,Bulgwang,06호선,612,126.9299858,37.6102073
2614,독바위,Dokbawi,06호선,613,126.9328102,37.6183989
2615,연신내,Yeonsinnae,06호선,614,126.9211621,37.618962
2616,구산,Gusan,06호선,615,126.9171824,37.6112122
2617,새절,Saejeol,06호선,616,126.913912,37.5918271
2618,증산,Jeungsan,06호선,617,126.9100576,37.5841955
2619,디지털미디어시티,Digital Media City,06호선,618,126.9019286,37.5771615
2620,월드컵경기장,World Cup Stadium,06호선,619,126.8972733,37.5682553
2621,마포구청,Mapo-gu Office,06호선,620,126.903357,37.5634263
2622,망원,Mangwon,06호선,621,126.9100339,37.5560573
2623,합정,Hapjeong,06호선,622,126.9146382,37.5501152
2624,상수,Sangsu,06호선,623,126.9224099,37.5477717
2625,광흥창,Gwangheungchang,06호선,624,126.9319392,37.5474861
2626,대흥,Daeheung,06호선,625,126.9424653,37.5476683
2627,공덕,Gongdeok,06호선,626,126.9513638,37.5445268
2628,효창공원앞,Hyochang park,06호선,627,126.9612259,37.5396003
2629,삼각지,Samgakji,06호선,628,126.9730111,37.5345937
2630,녹사평,Noksapyeong,06호선,629,126.9870285,37.5348314
2631,이태원,Itaewon,06호선,630,126.9937216,37.5344832
2632,한강진,Hangangjin,06호선,631,127.0017483,37.5402951
2633,버티고개,Beotigogae,06호선,632,127.007085,37.5480418
2634,약수,Yaksu,06호선,633,127.0108225,37.5545595
2635,청구,Cheonggu,06호선,634,127.013806,37.5602939
2636,신당,Sindang,06호선,635,127.0195406,37.5656541
2637,동묘앞,Dongmyo,06호선,636,127.0167512,37.5733722
2638,창신,Changsin,06호선,637,127.0152112,37.5800169
2639,보문,Bomun,06호선,638,127.0194953,37.5855576
2640,안암,Anam,06호선,639,127.029136,37.586302
2641,고려대,Korea Univ.,06호선,640,127.0362849,37.5906497
2642,월곡,Wolgok,06호선,641,127.0411848,37.601421
2643,상월곡,Sangwolgok,06호선,642,127.0483266,37.6062642
2644,돌곶이,Dolgoji,06호선,643,127.0564252,37.6105507
2645,석계,Seokgye,06호선,644,127.0656472,37.6153059
2646,태릉입구,Taereung,06호선,645,127.0753683,37.6185142
2647,화랑대,Hwarangdae,06호선,646,127.0837446,37.6198944
2648,봉화산,Bonghwasan,06호선,647,127.0907581,37.6176538
2649,신내,Sinnae,06호선,648,127.103222,37.6127905
2711,장암,Jangam,07호선,709,127.0531353,37.700119
2712,도봉산,Dobongsan,07호선,710,127.046198,37.689618
2713,수락산,Suraksan,07호선,711,127.0553746,37.6776259
2714,마들,Madeul,07호선,712,127.0576877,37.6650865
2715,노원,Nowon,07호선,713,127.0630304,37.6562678
2716,중계,Junggye,07호선,714,127.0642467,37.6448907
2717,하계,Hagye,07호선,7151,127.0679885,37.6364521
2718,공릉,Gongneung,07호선,716,127.0730053,37.625477
2719,태릉입구,Taereung,07호선,717,127.0753683,37.6185142
2720,먹골,Meokgol,07호선,718,127.0777647,37.610625
2721,중화,Junghwa,07호선,719,127.0794692,37.6015797
2722,상봉,Sangbong,07호선,720,127.0857201,37.5967175
2723,면목,Myeonmok,07호선,721,127.0875678,37.5883849
2724,사가정,Sagajeong,07호선,722,127.088439,37.5807946
2725,용마산,Yongmasan,07호선,723,127.0870381,37.5740302
2726,중곡,Junggok,07호선,724,127.0840725,37.5655259
2727,군자,Gunja,07호선,725,127.0790173,37.5573632
2728,어린이대공원,Children`s  Grand Park,07호선,726,127.0745499,37.5478712
2729,건대입구,Konkuk Univ.,07호선,727,127.0691733,37.5404189
2730,뚝섬유원지,Ttukseom Park,07호선,728,127.0667177,37.5315862
2731,청담,Cheongdam,07호선,729,127.0536445,37.5194407
2732,강남구청,Gangnam-gu Office,07호선,730,127.0413014,37.5171892
2733,학동,Hak-dong,07호선,731,127.0314638,37.5142064
2734,논현,Nonhyeon,07호선,732,127.0216578,37.5111988
2735,반포,Banpo,07호선,733,127.011497,37.5081264
2736,고속터미널,Express Bus Terminal,07호선,734,127.0049482,37.5049302
2737,내방,Naebang,07호선,735,126.9931903,37.4875335
2738,이수,Isu,07호선,736,126.9810218,37.4850151
2739,남성,Namseong,07호선,737,126.9717061,37.4844434
2740,숭실대입구,Soongsil Univ.,07호선,738,126.9540603,37.4958144
2741,상도,Sangdo,07호선,739,126.9477004,37.503208
2742,장승배기,Jangseungbaegi,07호선,740,126.9387444,37.5046658
2743,신대방삼거리,Sindaebangsamgeori,07호선,741,126.9282229,37.4997219
2744,보라매,Boramae,07호선,742,126.9204894,37.4999101
2745,신풍,Sinpung,07호선,743,126.9098417,37.5001172
2746,대림,Daerim,07호선,744,126.8949462,37.4933105
2747,남구로,Namguro,07호선,745,126.8873411,37.4861619
2748,가산디지털단지,Gasan Digital Complex,07호선,746,126.8826247,37.4815789
2749,철산,Cheolsan,07호선,747,126.8680116,37.4761175
2750,광명사거리,Gwangmyeongsageori,07호선,748,126.8546365,37.479365
2751,천왕,Cheonwang,07호선,749,126.8387137,37.4868219
2752,온수,Onsu,07호선,750,126.8240517,37.4924591
2753,까치울,Kkachiul,07호선,751,126.810866,37.506239
2754,부천종합운동장,Bucheon Stadium,07호선,752,126.797498,37.505467
2755,춘의,Chunui,07호선,753,126.787063,37.503648
2756,신중동,Sinjung-dong,07호선,754,126.775981,37.503091
2757,부천시청,Bucheon City Hall,07호선,755,126.763613,37.504699
2758,상동,Sang-dong,07호선,756,126.753086,37.505780
2759,삼산체육관,Samsan Gymnasium,07호선,757,126.7419066,37.5065825
2760,굴포천,Gulpocheon,07호선,758,126.73155797803456,37.506994493417565
2761,부평구청,Bupyeong-gu Office,07호선,759,126.7208572,37.5076064
2811,암사,Amsa,08호선,810,127.1275403,37.5501404
2812,천호,Cheonho,08호선,811,127.1237425,37.538579
2813,강동구청,Gangdong-gu Office,08호선,812,127.120576,37.5306741
2814,몽촌토성,Mongchontoseong,08호선,813,127.1124299,37.5176236
2815,잠실,Jamsil,08호선,814,127.1042164,37.5149772
2816,석촌,Seokchon,08호선,815,127.1063454,37.5059496
2817,송파,Songpa,08호선,816,127.112119,37.4998704
2818,가락시장,Garak Market,08호선,817,127.1184858,37.492744
2819,문정,Munjeong,08호선,818,127.1222903,37.4862618
2820,장지,Jangji,08호선,819,127.1264241,37.4781192
2821,복정,Bokjeong,08호선,820,127.1267713,37.471056
2822,산성,Sanseong,08호선,821,127.1499435,37.4565246
2823,남한산성입구,Namhansanseong,08호선,822,127.1594592,37.4516134
2824,단대오거리,Dandaeogeori,08호선,823,127.1566879,37.4451431
2825,신흥,Sinheung,08호선,824,127.1481077,37.4411841
2826,수진,Sujin,08호선,825,127.1403519,37.4374595
2827,모란,Moran,08호선,826,127.1295511,37.4338501
